Factory,Description,Material,fx_Description,fx Material Structure,Total Thickness,Material 1,Material 2,Material 3,Material 4,Finish,Opacity,Finish for Clear Area,Barrier,Hologram,Matte Varnish,Metallized Film,Microwaveable,Recyclable,Soft Touch,Spot UV,Window,Inactive
China Boxes 2,Art Paper Tube,Art Paper/White Card,Recyclable Paper Matte (Film),Art Paper/White Card,157.00,Art Paper,White Card,,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Art Paper Tube w Paper Button,Art Paper/White Card/Paper Button,Recyclable Paper Matte (Film),Art Paper/White Card/Paper Button,40.94,Art Paper,White Card,Paper Button,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Art Paper Tube w Plastic Button,Art Paper/White Card/Plastic Button,Recyclable Paper Matte (Film),Art Paper/White Card/Plastic Button,40.94,Art Paper,White Card,Plastic Button,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Matte Finish,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film),Art Paper/Greyboard/CCNB,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,Matte Finish with Spot UV,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film) with Spot UV,Art Paper/Greyboard/CCNB + Spot UV,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,No,Yes,No,false
China Boxes 2,Matte Masking Paper Sticker,Matte Masking Paper Sticker,Recyclable Paper Matte (Film),Matte Masking Paper Sticker,,Matte Masking Paper Sticker,,,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes 2,Soft Touch Matte Finish,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film),Art Paper/Greyboard/CCNB,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,Yes,No,No,false
China Digital,Chemical Resistant Clear Glossy Pouches,KPET/PET/PE,Glossy,KPET/PET/PE,2.60,KPET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Chemical Resistant Opaque Glossy Pouches,KPET/VMPET/PE,Glossy,KPET/VMPET/PE,,KPET,VMPET,PE,,Glossy,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Digital,Chemical Resistant White Glossy Pouches,KPET/White PET/PE,Glossy,KPET/White PET/PE,2.60,KPET,White PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Clear Glossy,PET/PET/PE,Glossy,PET/PET/PE,,PET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Compostable - Opaque Glossy,PLA/CMF,Compostable Glossy,PLA/CMF,,PLA,CMF,,,Glossy,Opaque,Glossy,No,No,No,No,No,Compostable,No,No,No,false
China Digital,Frosted Matte Black,CPE,Matte (Film),CPE,,CPE,,,,Matte,Clear,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,Glossy - PET/PE,PET/PE,Glossy,PET/PE,,PET,PE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Glossy Foil with PE Foam Insulation,VMPET/EPE Foam,Opaque Glossy,VMPET/EPE Foam,20.16,VMPET,EPE Foam,,,Glossy,Opaque,None,No,No,No,Yes,No,No,No,No,No,false
China Digital,Glossy PET NY CPP,PET/NY/CPP,Glossy,PET/NY/CPP,4.61,PET,NY,CPP,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Iridescent - Clear Glossy with Hologram,PET/Laser PET/PE,Glossy with Hologram,PET/Laser VMPET/PE,0.00,PET,Laser VMPET,PE,,Glossy,Clear,Glossy,No,Yes,No,No,No,No,No,No,No,false
China Digital,Iridescent - Matte with Hologram,Matte OPP/Laser PET/PE,Opaque Matte (Film) with Hologram Spot UV,Matte OPP/Laser VMPET/PE + Spot UV,0.00,Matte OPP,Laser VMPET,PE,,Matte,Opaque,None,Yes,Yes,No,Yes,No,No,No,Yes,No,false
China Digital,Iridescent - Matte with Transparent Hologram,Matte OPP/Laser PET/PE + Spot UV,Matte (Film) with Hologram Spot UV,Matte OPP/Laser PET/PE + Spot UV,,Matte OPP,Laser PET,PE,,Matte,Clear,Glossy,No,Yes,No,No,No,No,No,Yes,No,false
China Digital,Iridescent - Opaque Glossy with Hologram,PET/Laser VMPET/PE,Opaque Glossy with Hologram,PET/Laser VMPET/PE,,PET,Laser VMPET,PE,,Glossy,Opaque,None,Yes,Yes,No,Yes,No,No,No,No,No,false
China Digital,Iridescent - Opaque Matte (Film) with Hologram (Spot UV),Matte OPP/Laser VMPET/PE w/ Spot UV,Opaque Matte (Film) with Hologram Spot UV,Matte OPP/Laser VMPET/PE + Spot UV,4.61,Matte OPP,Laser VMPET,PE,,Matte,Opaque,None,Yes,Yes,No,Yes,No,No,No,Yes,No,false
China Digital,Iridescent - Opaque Matte (Varnish) with Hologram Spot UV,PET/Laser VMPET/PE + Matte Varnish,Opaque Matte (Varnish) with Hologram,PET/Laser VMPET/PE + Matte Varnish,4.88,PET,Laser VMPET,PE,,Matte,Opaque,None,Yes,Yes,Yes,Yes,No,No,No,No,No,false
China Digital,Iridescent - Opaque Matte with Hologram,Matte OPP/VMPET/PE,Opaque Matte (Film) with Hologram,Matte OPP/Laser VMPET/PE,4.61,Matte OPP,Laser VMPET,PE,,Matte,Opaque,None,Yes,Yes,No,Yes,No,No,No,No,No,false
China Digital,Kraft Paper,Kraft/NY/VMPET/PE,Opaque Kraft Paper,Kraft Paper/NY/VMPET/PE,4.71,Kraft Paper,NY,VMPET,PE,Kraft Paper,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
China Digital,Kraft Paper w/ Window,Kraft/NY/PET/PE,Kraft Paper with Window,Kraft Paper/NY/PET/PE,0.00,Kraft Paper,NY,PET,PE,Kraft Paper,Opaque with Window,Glossy,No,No,No,No,No,No,No,No,Yes,false
China Digital,Matte OPP Coated - No Foil,Matte OPP/KPET/PE,Matte (Film) with Barrier No Metal Film,Matte OPP/KPET/PE,0.00,Matte OPP,KPET,PE,,Matte,Clear,Matte,Yes,No,No,No,No,No,No,No,No,false
China Digital,Matte w/ Foil and Glossy Window,Matte OPP/VMPET/PET/PE,Opaque Matte (Film),Matte OPP/VMPET/PET/PE,4.69,Matte OPP,VMPET,PET,PE,Matte,Opaque with Window,Glossy,No,No,No,Yes,No,No,No,No,No,false
China Digital,Matte with Window,PET/PET/3 mil PE + Matte Oil,Matte (Varnish) with Window,PET/PET/PE + Matte Varnish,3.00,PET,PET,PE,,Matte,Opaque with Window,Glossy,No,No,Yes,No,No,No,No,No,Yes,false
China Digital,Matte with Window (3 Mil PE),Matte OPP/PET/PE + Spot UV,Matte (Film) with Spot UV Window,Matte OPP/PET/PE + Spot UV,3.00,Matte OPP,PET,PE,,Matte,Opaque with Window,Glossy,No,No,No,No,No,No,No,Yes,Yes,false
China Digital,Matte with Window (4 Mil PE),Matte OPP/PET/4 mil PE + Spot UV,Matte (Film) with Spot UV Window,Matte OPP/PET/PE + Spot UV,4.00,Matte OPP,PET,PE,,Matte,Opaque with Window,Glossy,No,No,No,No,No,No,No,Yes,Yes,false
China Digital,Matte with Window (4 Mil PE),PET/PET/4 mil PE + Spot UV + Matte Oil,Matte with Spot UV,PET/PET/PE + Spot UV + Matte Varnish,4.00,PET,PET,PE,,Matte,Opaque with Window,Glossy,No,No,Yes,No,No,No,No,Yes,No,false
China Digital,NY15/PE40 Glossy ,NY/PE,Glossy,NY/PE,2.17,NY,PE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Opaque Glossy,PET/VMPET/PE,Opaque Glossy,PET/VMPET/PE,,PET,VMPET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
China Digital,Opaque Glossy (2 layers),PE/PE,Glossy with Barrier No Metal Film,PET/PE,,PET,PE,,,Glossy,Opaque,Glossy,Yes,No,No,No,No,No,No,No,No,false
China Digital,Opaque Glossy with Matte Oil,PET/VMPET/PE + Matte Oil,Opaque Glossy with Spot UV,PET/VMPET/PE + Spot UV + Matte Varnish,4.00,PET,VMPET,PE,,Glossy,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
China Digital,Opaque Glossy with Window,PET/PET/PE,Glossy with Window,PET/PET/PE,,PET,PET,PE,,Glossy,Opaque with Window,Glossy,No,No,No,No,No,No,No,No,Yes,false
China Digital,Opaque LLDPE Coex (2.5mil PE),2.5mil LLDPE Opaque Coex,Glossy,LLDPE Opaque Coex,2.50,LLDPE Opaque Coex,,,,Glossy,Opaque,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,Opaque Matte ,Matte OPP/VMPET/PE,Matte (Film),Matte OPP/VMPET/PE,4.28,Matte OPP,VMPET,PE,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Digital,Opaque Matte - Matte Film  No MET PET,Matte OPP/PET/PE,Matte (Film),Matte OPP/PET/PE,,Matte OPP,PET,PE,,Matte,Clear,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,Opaque Matte - Matte Film (4.47mil),80g Matte OPP/0.48mil VMPET/3.5mil PE,Opaque Matte (Film),Matte OPP/VMPET/PE,4.47,Matte OPP,VMPET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
China Digital,Opaque Matte - Matte Film - 2 Ply No Foil,Matte OPP/PE,Matte (Film),Matte OPP/PE,,Matte OPP,PE,,,Matte,Opaque,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,Opaque Matte - Matte PET Film No MET PET,Matte PET/PET/PE + Matte Varnish,Matte (Film),Matte PET/PET/PE,,Matte PET,PET,PE,,Matte,Opaque,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,Opaque Matte - Velvet Soft Touch,Soft Touch Matte/VMPET/PE,Opaque Soft Touch,Soft Touch PET/VMPET/PE,4.61,Soft Touch PET,VMPET,PE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
China Digital,Opaque Matte AL,Matte OPP/AL/PE,Opaque Matte (Film),Matte OPP/AL/PE,,Matte OPP,AL,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
China Digital,Opaque Matte PET with Spot UV,Matte PET/VMPET/PE + Spot UV,Matte (Film) with Spot UV,Matte PET/VMPET/PE + Spot UV,,Matte PET,VMPET,PE,,Matte,Opaque,None,No,No,No,No,No,No,No,Yes,No,false
China Digital,Opaque Matte w/ Spot UV (3mil PE),PET/VMPET/PE + Spot UV + Matte Varnish,Matte with Spot UV,PET/VMPET/PE + Spot UV + Matte Varnish,,PET,VMPET,PE,,Matte,Opaque,None,No,No,Yes,No,No,No,No,Yes,No,false
China Digital,Opaque Matte with Spot UV (3mil PE),Matte OPP/VMPET/PE + Spot UV,Opaque Matte (Film) with Spot UV,Matte OPP/VMPET/PE + Spot UV,4.46,Matte OPP,VMPET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,Yes,No,false
China Digital,Opaque Matte with Spot UV (4.47mil),Matte OPP/VMPET/PE + Spot UV,Opaque Matte (Film) with Spot UV,Matte OPP/VMPET/PE + Spot UV,4.47,Matte OPP,VMPET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,Yes,No,false
China Digital,Padded Mailer - Glossy,White PE/Bubbles,Glossy,White PE/Bubbles,2.36,White PE,Bubbles,,,Glossy,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Digital,Padded Mailer - Matte,Matte OPP/PE/Bubbles,Matte (Film),Matte PET/PE/Bubbles,2.17,Matte PET,PE,Bubbles,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Digital,Padded Mailer Matte,PET/PE/Bubbles,Matte (Film),PET/PE/Bubbles,2.24,PET,PE,Bubbles,,Matte,Clear,Matte,No,No,No,No,No,No,No,No,No,false
China Digital,PCR - Recycled Glossy,PE/PCR PE/EVOH-PE,Recyclable PCR Glossy,PE/PCR-PE/EVOH-PE,4.72,PE,PCR-PE,EVOH-PE,,Glossy,Clear,Glossy,No,No,No,No,No,PCR,No,No,No,false
China Digital,PCR - Recycled Matte - Matte Oil,PE/PE/EVOH + Matte Oil,Recyclable PCR Matte (Varnish),PE/PCR-PE/EVOH-PE + Matte Varnish,4.72,PE,PCR-PE,EVOH-PE,,Matte,Clear,Matte,No,No,Yes,No,No,PCR,No,No,No,false
China Digital,PCR - Recycled Matte - Spot UV,PE/PE/EVOH + Spot UV,Recyclable PCR Matte (Film) with Spot UV,PCR-PE/PE/EVOH + Spot UV,,PCR-PE,PE,EVOH,,Matte,Opaque,Glossy,No,No,No,No,No,PCR,No,Yes,No,false
China Digital,PCR Kraft Paper w Window,Kraft Paper/NY/PCR-PE/PE,Recyclable PCR Kraft Paper with Window,Kraft Paper/NY/PCR-PE/PE,4.24,Kraft Paper,NY,PCR-PE,PE,Kraft Paper,Opaque with Window,Glossy,No,No,No,No,No,PCR,No,No,Yes,false
China Digital,PCR w Foil - Recycled Opaque Glossy,PE/PCR-PE/VMPE,Opaque Recyclable PCR Glossy,PE/PCR-PE/VMPE,4.80,PE,PCR-PE,VMPE,,Glossy,Opaque,None,No,No,No,Yes,No,PCR,No,No,No,false
China Digital,PCR w Foil - Recycled Opaque Matte - Matte Oil,PE/PCR-PE/VMPE + Matte Varnish,Opaque Recyclable PCR Matte (Varnish),PE/PCR-PE/VMPE + Matte Varnish,4.80,PE,PCR-PE,VMPE,,Matte,Opaque,None,No,No,Yes,Yes,No,PCR,No,No,No,false
China Digital,PCR w Foil - Recycled Opaque Matte - Spot UV,PE/PCR-PE/VMPE + Spot UV,Opaque Recyclable PCR Matte (Film) with Spot UV,PE/PCR-PE/VMPE + Spot UV,4.72,PE,PCR-PE,VMPE,,Matte,Opaque,Glossy,No,No,No,Yes,No,PCR,No,Yes,No,false
China Digital,PCR w Foil - Recycled Opaque Soft Touch,Soft Touch PE/PCR-PE/VMPE,Opaque Recyclable PCR Soft Touch,Soft Touch PE/PCR-PE/VMPE,4.53,Soft Touch PE,PCR-PE,VMPE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,PCR,Yes,No,No,false
China Digital,PET Coated - No Foil,PET/KPET/PE,Glossy,PET/KPET/PE,0.00,PET,KPET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Recyclable - Opaque Glossy,PE/EVOH-based PE,Recyclable PE Glossy,PE/EVOH-PE,,PE,EVOH-PE,,,Glossy,Clear,Glossy,No,No,No,No,No,PE,No,No,No,false
China Digital,Recyclable - Opaque Glossy (3mil),PE30/EVOH-based PE50 Total t=3mil,Recyclable PE Glossy,PE/EVOH-PE,3.15,PE,EVOH-PE,,,Glossy,Clear,Glossy,No,No,No,No,No,PE,No,No,No,false
China Digital,Recyclable - Opaque Glossy (LLDPE),2.5mil LLDPE,Recyclable PE Glossy,LLDPE,2.50,LLDPE,,,,Glossy,Clear,Glossy,No,No,No,No,No,PE,No,No,No,false
China Digital,Recyclable - Opaque Matte,PE/EVOH-based PE,Recyclable PE Matte (Film),PE/EVOH-PE,,PE,EVOH-PE,,,Matte,Clear,Matte,No,No,No,No,No,PE,No,No,No,false
China Digital,Recyclable - Opaque Matte w/ Window & Spot UV,PE/EVOH-based PE + Matte Oil,Recyclable PE Matte with Spot UV Window,PE/EVOH-PE + Spot UV + Matte Varnish,,PE,EVOH-PE,,,Matte,Opaque with Window,Glossy,No,No,Yes,No,No,PE,No,Yes,Yes,false
China Digital,Recyclable - Opaque Matte with Spot UV,PE/EVOH-based PE + Matte Oil,Recyclable PE Matte with Spot UV,PE/EVOH-PE + Spot UV + Matte Varnish,,PE,EVOH-PE,,,Matte,Clear,Glossy,No,No,Yes,No,No,PE,No,Yes,No,false
China Digital,Rice Paper,Rice/NY/VMPET/PE,Opaque Rice Paper,Rice Paper/NY/VMPET/PE,0.00,Rice Paper,NY,VMPET,PE,Rice Paper,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
China Digital,Rice Paper w/ Soft Touch Matte - No Foil,Soft Touch Matte20/PET12/30G Rice paper/PE50,Rice Paper,Soft Touch PET/PET/Rice Paper/PE,3.53,Soft Touch PET,PET,Rice Paper,PE,Rice Paper,Opaque,None,No,No,No,No,No,No,Yes,No,No,false
China Digital,Smell Proof,OPP/NY/EVOH,Glossy,OPP/NY/EVOH,,OPP,NY,EVOH,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Digital,Soft Touch Matte - 39% PCR,PCR Soft Touch Matte PET/PCR MET PET/PCR White PE,Soft Touch,PCR Soft Touch Matte PET/PCR MET PET/PCR White PE,4.54,PCR Soft Touch Matte PET,PCR MET PET,PCR White PE,,Soft Touch,Opaque,None,No,No,No,No,No,No,Yes,No,No,false
China Digital,Soft Touch Matte - No Foil,Soft Touch Matte/PET/PE,Soft Touch,Soft Touch PET/PET/PE,4.61,Soft Touch PET,PET,PE,,Soft Touch,Clear,Matte,No,No,No,No,No,No,Yes,No,No,false
China Digital,Soft Touch Matte with Spot UV,Soft Touch Matte/VMPET/PE + Spot UV,Opaque Soft Touch with Spot UV,Soft Touch PET/VMPET/PET + Spot UV,4.61,Soft Touch PET,VMPET,PET,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,Yes,No,false
China Digital,Soft Touch Matte with Window,Soft Touch Matte/PET/PE + Spot UV Window,Soft Touch with Spot UV Window,Soft Touch Matte/PET/PE + Spot UV,4.61,Soft Touch PET,PET,PE,,Soft Touch,Opaque with Window,Glossy,No,No,No,No,No,No,Yes,Yes,Yes,false
China Digital,White Kraft Paper w PCR PE ,Kraft Paper/NY/PCR-PE/PE,Recyclable PCR Kraft Paper,Kraft Paper/NY/PCR-PE/PE,5.71,Kraft Paper,NY,PCR-PE,PE,Kraft Paper,Opaque,None,No,No,No,No,No,PCR,No,No,No,false
China Glass,Glass Glossy Clear,Clear Glossy Glass,Recyclable Glass Glossy,Glass,,Glass,,,,Glossy,Clear,Glossy,No,No,No,No,No,Glass,No,No,No,false
