Factory,Description,Material,fx_Description,fx Material Structure,Total Thickness,Material 1,Material 2,Material 3,Material 4,Finish,Opacity,Finish for Clear Area,Barrier,Hologram,Matte Varnish,Metallized Film,Microwaveable,Recyclable,Soft Touch,Spot UV,Window,Inactive
China Glass,Glass Glossy Opaque,Opaque Glossy Glass,Recyclable Glass Glossy,Glass,,Glass,,,,Glossy,Opaque,None,No,No,No,No,No,Glass,No,No,No,false
China Glass,Glass Matte Clear,Clear Matte Glass,Recyclable Glass Matte (Varnish),Glass + Matte Varnish,,Glass,,,,Matte,Clear,Matte,No,No,Yes,No,No,Glass,No,No,No,false
China Glass,Glass Matte Opaque,Opaque Matte Glass,Recyclable Glass Matte (Varnish),Glass + Matte Varnish,,Glass,,,,Matte,Opaque,None,No,No,Yes,No,No,Glass,No,No,No,false
China Glass 2,Glass Glossy Clear,Glass,Recyclable Glass Glossy,Glass,,Glass,,,,Glossy,Clear,Glossy,No,No,No,No,No,Glass,No,No,No,false
China Glass 2,Glass Glossy Opaque,Glass,Recyclable Glass Glossy,Glass,,Glass,,,,Glossy,Opaque,None,No,No,No,No,No,Glass,No,No,No,false
China Glass 2,Glass Matte Clear,Glass + Matte Varnish,Recyclable Glass Matte (Varnish),Glass + Matte Varnish,,Glass,,,,Matte,Clear,Matte,No,No,Yes,No,No,Glass,No,No,No,false
China Glass 2,Glass Matte Opaque,Glass + Matte Varnish,Recyclable Glass Matte (Varnish),Glass + Matte Varnish,,Glass,,,,Matte,Opaque,None,No,No,Yes,No,No,Glass,No,No,No,false
China Glass 2,Opal White ,Glass,Recyclable Glass Glossy,Glass,,Glass,,,,Glossy,Opaque,None,No,No,No,No,No,Glass,No,No,No,false
China Glass 2,PET Jar with CR Cap ,PET,Glossy,PET,,PET,,,,Glossy,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Tins,Gloss Finish,Tinplated Steel,Recyclable Tin Glossy,Tinplated Steel,,Tinplated Steel,,,,Glossy,Opaque,None,No,No,No,No,No,Tin,No,No,No,false
China Tins,Matte Finish,Tinplated Steel,Recyclable Tin Matte (Film),Tinplated Steel,,Tinplated Steel,,,,Matte,Opaque,None,No,No,No,No,No,Tin,No,No,No,false
China Tins,PET (Plastic) ,APET,Matte (Film),APET,19.69,APET,,,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
UK,Opaque Glossy,48g PET/48g MET PET/4mil PE,Opaque Glossy,PET/MET PET/PE,4.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
UK,Opaque Glossy -  3mil PE,48g PET/48g MET PET/3mil PE,Opaque Glossy,PET/MET PET/PE,3.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
UK,Opaque Matte - Matte Film - 3mil PE,80g Matte OPP/48g MET PET/3mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,4.28,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
UK,Opaque Matte - Matte Film 4mil PE,80g Matte OPP/48g MET PET/4mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,5.28,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
UK,Opaque Matte - Matte Flood,48g PET/48g MET PET/4mil PE + Matte Flood,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,4.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
UK,Opaque Matte - Matte Flood - 3mil PE,48g PET/48g MET PET/3mil PE + Matte Flood,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,3.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
UK,Opaque Matte - Velvet Soft Touch,56g Soft Touch Matte/48g MET PET/4mil PE,Opaque Soft Touch,Soft Touch PET/MET PET/PE,5.04,Soft Touch PET,MET PET,PE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
UK,Opaque Matte with Spot UV,PET/MET PET/PE + Matte Lacquer,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
UK,Opaque Matte with Spot UV - Registered 3mil PE,48g PET/48g MET PET/3mil PE + Registered Matte,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,3.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
USA AP,48ga Matte PET / 1 mil PET / 2.75 mil PE,Matte PET/PET/PE,Matte (Film),Matte PET/PET/PE,4.23,Matte PET,PET,PE,,Matte,Clear,Matte,No,No,No,No,No,No,No,No,No,false
USA AP,Clear Glossy,48g PET/48g PET/4mil PE,Glossy,PET/PET/PE,4.96,PET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA AP,Opaque Glossy,48g PET/48g MET PET/4mil PE,Opaque Glossy,PET/MET PET/PE,4.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA AP,Opaque Glossy with Window,48g PET/48g PET/4mil PE,Glossy with Window,PET/PET/PE,4.96,PET,PET,PE,,Glossy,Opaque with Window,Glossy,No,No,No,No,No,No,No,No,Yes,false
USA AP,Opaque Matte - Matte Film,80g Matte OPP/48g MET PET/4mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,5.28,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA AP,Opaque Matte - Matte Lacquer,48g PET/48g MET PET/4mil PE + Matte Lacquer,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,4.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
USA AP,Opaque Matte - Matte PET,Matte PET/MET PET/PE,Opaque Matte (Film),Matte PET/MET PET/PE,3.96,Matte PET,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA AP,Opaque Matte - Velvet Soft Touch,56g Soft Touch Matte/48g MET PET/4mil PE,Opaque Soft Touch,Soft Touch PET/MET PET/PE,5.04,Soft Touch PET,MET PET,PE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
USA AP,Opaque Matte Matte Film,Matte OPP/VMPET/PE + Spot UV,Matte (Film) with Spot UV,Matte OPP/MET PET/PE + Spot UV,4.96,Matte OPP,MET PET,PE,,Matte,Opaque,None,No,No,No,No,No,No,No,Yes,No,false
USA AP,Opaque Matte with Hazy Window,Matte OPP/PET/PE,Matte (Film) with Window,Matte OPP/PET/PE,,Matte OPP,PET,PE,,Matte,Opaque with Window,Matte,No,No,No,No,No,No,No,No,Yes,false
USA AP,Opaque Matte with Spot UV,PET/MET PET/PE + Matte Lacquer,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
USA AP,PCR Soft Touch Matte,PCR Soft Touch Matte PET/PCR MET PET/PCR-PE,Recyclable PCR Soft Touch,PCR Soft Touch Matte PET/PCR MET PET/PCR White PE,4.54,PCR Soft Touch Matte PET,PCR MET PET,PCR White PE,,Soft Touch,Opaque,None,No,No,No,No,No,PCR,Yes,No,No,false
USA EL,Clear Glossy,48g PET/48g PET/4mil PE,Glossy,PET/PET/PE,4.96,PET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA EL,Kraft Paper,Kraft Paper/ MET PET/ PET,Opaque Kraft Paper,Kraft Paper/MET PET/PET,,Kraft Paper,MET PET,PET,,Kraft Paper,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA EL,Opaque Glossy,48g PET/48g MET PET/4mil PE,Opaque Glossy,PET/MET PET/PE,4.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA EL,Opaque Glossy with Window,48g PET/48g PET/4mil PE,Glossy with Window,PET/PET/PE,4.96,PET,PET,PE,,Glossy,Opaque with Window,Glossy,No,No,No,No,No,No,No,No,Yes,false
USA EL,Opaque Matte - Matte Film,80g Matte OPP/48g MET PET/4mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,5.28,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA EL,Opaque Matte - Matte Lacquer,48g PET/48g MET PET/4mil PE + Matte Lacquer,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,4.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
USA EL,Opaque Matte - Velvet Soft Touch,56g Soft Touch Matte/48g MET PET/4mil PE,Opaque Soft Touch,Soft Touch PET/MET PET/PE,5.04,Soft Touch PET,MET PET,PE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
USA EL,Opaque Matte with Spot UV,PET/MET PET/PE + Matte Lacquer,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
USA EL,Opaque Matte with Window,Matte OPP/PET/PE,Matte (Film) with Window,Matte OPP/PET/PE,,Matte OPP,PET,PE,,Matte,Opaque with Window,Matte,No,No,No,No,No,No,No,No,Yes,false
USA PPC,Clear Glossy - 3mil PE no barrier,48g PET/3 mil PE ,Glossy,PET/PE,3.48,PET,PE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA PPC,Clear Glossy - 3mil PE w/ barrier,0.50G ALOX/3.0 mil LLDPE,Glossy,ALOX/LLDPE,3.01,ALOX,LLDPE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA PPC,Clear Glossy - 3mil PE w/ barrier,.50 ALOX PET/3 mil PE ,Glossy,ALOX/PE,3.01,ALOX,PE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA PPC,Clear Glossy - 3mil PE w/ barrier/matte varnish,0.50G ALOX/3.0 mil LLDPE + Registered Matte Lacquer,Matte (Varnish) with Window,ALOX/LLDPE + Matte Varnish,3.01,ALOX,LLDPE,,,Matte,Opaque with Window,Glossy,No,No,Yes,No,No,No,No,No,Yes,false
USA PPC,Clear Glossy - 3mil PE w/ matte varnish,48g PET/3 mil PE  + Registered Matte Lacquer,Matte (Varnish) with Window,PET/PE + Matte Varnish,3.48,PET,PE,,,Matte,Opaque with Window,Glossy,No,No,Yes,No,No,No,No,No,Yes,false
USA PPC,Clear Glossy - 4mil PE matte varnish,48g PET/4 mil PE  + Registered Matte Lacquer,Matte (Varnish) with Window,PET/PE + Matte Varnish,4.48,PET,PE,,,Matte,Opaque with Window,Glossy,No,No,Yes,No,No,No,No,No,Yes,false
USA PPC,Clear Glossy - 4mil PE w/ barrier,0.50G ALOX/4.0 mil LLDPE,Glossy,ALOX/LLDPE,4.01,ALOX,LLDPE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA PPC,Clear Glossy - 4mil PE w/ barrier/matte varnish,0.50G ALOX/4.0 mil LLDPE + Registered Matte Lacquer,Glossy (Varnish),ALOX/LLDPE + Matte Varnish,4.01,ALOX,LLDPE,,,Glossy,Clear,Matte,No,No,Yes,No,No,No,No,No,No,false
USA PPC,Matte Film - Matte PET - 3 mil,Matte 48g PET / 48m MET PET / 3.0 mil LLDPE ,Opaque Matte (Film),Matte PET/MET PET/LLDPE,3.96,Matte PET,MET PET,LLDPE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA PPC,Opaque Glossy - 3mil PE,48g PET/48g MET PET/3 mil PE,Opaque Glossy,PET/MET PET/PE,3.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA PPC,Opaque Glossy - 4mil PE,48g PET/48g MET PET/4 mil PE,Opaque Glossy,PET/MET PET/PE,4.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA PPC,Opaque Glossy - KPET,0.50 ga ALOX /0.54 PVDC Coated PET /3.0 LLDPE,Glossy,ALOX/PVDC-PET/LLDPE,3.55,ALOX,PVDC-PET,LLDPE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA PPC,Opaque Glossy - no Foil,0.50 ga ALOX /0.48 PET /3.0 LLDPE,Glossy,ALOX/PET/LLDPE,3.49,ALOX,PET,LLDPE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
USA PPC,Opaque Matte - 3mil PE no barrier,0.80 ga Matte OPP/3.0 mil LLDPE,Matte (Film),Matte OPP/LLDPE,3.01,Matte OPP,LLDPE,,,Matte,Clear,Matte,No,No,No,No,No,No,No,No,No,false
USA PPC,Opaque Matte - Matte Film 3mil PE,80g Matte OPP/48g MET PET/3mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,4.28,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA PPC,Opaque Matte - Matte Film 4mil PE,80g Matte OPP/48g MET PET/4mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,5.28,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
USA PPC,Opaque Matte - Matte Lacquer 3mil PE,48g PET/48g MET PET/3mil PE + Matte Lacquer,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,3.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
USA PPC,Opaque Matte - Matte Varnish 4mil PE,48g PET/48g MET PET/4mil PE + Matte Lacquer Flood,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,4.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
USA PPC,Opaque Matte - Velvet Soft Touch - 3mil PE,Soft Touch Matte Coating/.48 PET/.48 MET PET/3 mil LLDPE,Opaque Soft Touch,Soft Touch PET/PET/MET PET/LLDPE,3.96,Soft Touch PET,PET,MET PET,LLDPE,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
USA PPC,Opaque Matte with Spot UV 3mil PE,PET/MET PET/3 mil PE + Registered Matte Lacquer,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
USA PPC,Opaque Matte with Spot UV 4mil PE,PET/MET PET/4 mil PE + Registered Matte Lacquer,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,4.00,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
USA PPC,Recyclable - Glossy,1.0 PE CAP SHEET/3 mil LLDPE,Recyclable PE Glossy,PE/LLDPE,4.00,PE,LLDPE,,,Glossy,Clear,Glossy,No,No,No,No,No,PE,No,No,No,false
USA PPC,Recyclable EVOH - Glossy,1.0 PE / 3.0 LLDPE EVOH,Recyclable PE Glossy,PE/EVOH-LLDPE,4.00,PE,EVOH-LLDPE,,,Glossy,Clear,Glossy,No,No,No,No,No,PE,No,No,No,false
USA PPC,Recyclable PCR - Glossy,0.48 PET / 3.0 LLDPE (PCR),Recyclable PCR Glossy,PET/PCR-LLDPE,3.48,PET,PCR-LLDPE,,,Glossy,Clear,Glossy,No,No,No,No,No,PCR,No,No,No,false
Vancouver,Clear Glossy,0.5M ALOX PET (Clear) / 4 mil PE,Glossy,ALOX/PE,4.01,ALOX,PE,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
Vancouver,Clear Glossy with Spot UV,0.5M ALOX PET (Clear) / 4 mil PE + Registered Matte,Glossy with Spot UV,ALOX/PE + Spot UV + Matte Varnish,4.01,ALOX,PE,,,Glossy,Clear,Glossy,No,No,Yes,No,No,No,No,Yes,No,false
Vancouver,Opaque Glossy,48g PET/48g MET PET/4mil PE,Opaque Glossy,PET/MET PET/PE,4.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Vancouver,Opaque Glossy -  3mil PE,48g PET/48g MET PET/3mil PE,Opaque Glossy,PET/MET PET/PE,3.96,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Vancouver,Opaque Matte - Matte Flood,48g PET/48g MET PET/4mil PE + Matte Flood,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,4.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
Vancouver,Opaque Matte - Matte Flood - 3mil PE,48g PET/48g MET PET/3mil PE + Matte Flood,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,3.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false
Vancouver,Opaque Matte - Matte OPP,75g Matte OPP/48g MET PET/4mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,5.23,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Vancouver,Opaque Matte - Matte OPP - 3mil PE,75g Matte OPP/48g MET PET/3mil PE,Opaque Matte (Film),Matte OPP/MET PET/PE,4.23,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Vancouver,Opaque Matte - Matte PET - 3mil,48g Matte PET/48g MET PET/3mil PE,Opaque Matte (Film),Matte PET/MET PET/PE,3.96,Matte PET,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Vancouver,Opaque Matte - Velvet Soft Touch,56g Soft Touch Matte/48g MET PET/4mil PE,Opaque Soft Touch,Soft Touch PET/MET PET/PE,4.56,Soft Touch PET,MET PET,PE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
Vancouver,Opaque Matte - Velvet Soft Touch - 3mil PE,56g Soft Touch Matte/48g MET PET/3mil PE,Opaque Soft Touch,Soft Touch PET/MET PET/PE,3.56,Soft Touch PET,MET PET,PE,,Soft Touch,Opaque,None,Yes,No,No,Yes,No,No,Yes,No,No,false
Vancouver,Opaque Matte with Spot UV - Registered 3mil PE,48g PET/48g MET PET/3mil PE + Registered Matte,Opaque Matte (Varnish),PET/MET PET/PE + Matte Varnish,3.96,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,No,No,false